last_api_request,populate_start_time,stream_count,load_1min
20:49:16,20:49:03,7239,0.38
20:49:19,20:49:03,7230,0.38
20:49:21,20:49:03,7224,0.35
20:49:23,20:49:03,7217,0.35
20:49:25,20:49:03,7212,0.32
20:49:27,20:49:03,7204,0.32
20:49:27,20:49:03,7199,0.32
20:49:31,20:49:03,7193,0.37
20:49:35,20:49:03,7188,0.37
20:49:35,20:49:03,7173,0.42
20:49:38,20:49:03,7152,0.42
20:49:42,20:49:03,7132,0.47
20:49:42,20:49:03,7107,0.47
20:49:45,20:49:03,7058,0.51
20:49:47,20:49:03,7015,0.51
20:49:51,20:49:03,6956,0.47
20:49:53,20:49:03,6908,0.47
20:49:55,20:49:03,6845,0.47
20:49:57,20:49:03,6811,0.51
20:49:59,20:49:03,6768,0.51
20:50:01,20:49:03,6745,0.47
20:50:03,20:49:03,6704,0.47
20:50:05,20:49:03,6676,0.43
20:50:08,20:49:03,6640,0.43
20:50:11,20:49:03,6597,0.4
20:50:13,20:49:03,6561,0.4
20:50:15,20:49:03,6535,0.4
20:50:17,20:49:03,6503,0.45
20:50:19,20:49:03,6486,0.45
20:50:21,20:49:03,6462,0.41
20:50:24,20:49:03,6432,0.41
20:50:26,20:49:03,6407,0.38
20:50:28,20:49:03,6394,0.38
20:50:30,20:49:03,6378,0.38
20:50:32,20:49:03,6357,0.35
20:50:34,20:49:03,6342,0.35
20:50:36,20:49:03,6325,0.32
20:50:38,20:49:03,6311,0.32
20:50:41,20:49:03,6301,0.29
20:50:43,20:49:03,6284,0.29
20:50:45,20:49:03,6272,0.29
20:50:47,20:49:03,6260,0.27
20:50:49,20:49:03,6250,0.27
20:50:51,20:49:03,6240,0.25
20:50:53,20:49:03,6230,0.25
20:50:55,20:49:03,6548,0.23
20:50:58,20:49:03,6932,0.23
20:51:00,20:49:03,7393,0.23
20:51:02,20:51:01,7476,0.21
20:51:04,20:51:01,7468,0.21
20:51:06,20:51:01,7458,0.19
20:51:09,20:51:01,7451,0.19
20:51:11,20:51:01,7443,0.18
20:51:13,20:51:01,7434,0.18
20:51:15,20:51:01,7426,0.18
20:51:17,20:51:01,7420,0.16
20:51:19,20:51:01,7403,0.16
20:51:21,20:51:01,7387,0.23
20:51:23,20:51:01,7358,0.23
20:51:26,20:51:01,7303,0.21
20:51:28,20:51:01,7254,0.21
20:51:30,20:51:01,7181,0.19
20:51:32,20:51:01,7114,0.19
20:51:34,20:51:01,7073,0.19
20:51:37,20:51:01,7016,0.18
20:51:39,20:51:01,6976,0.18
20:51:41,20:51:01,6910,0.16
20:51:43,20:51:01,6853,0.16
20:51:45,20:51:01,6812,0.15
20:51:48,20:51:01,6771,0.15
20:51:50,20:51:01,6728,0.15
20:51:52,20:51:01,6689,0.14
20:51:54,20:51:01,6655,0.14
20:51:55,20:51:01,6628,0.13
20:51:59,20:51:01,6595,0.13
20:52:01,20:51:01,6578,0.2
20:52:03,20:51:01,6557,0.2
20:52:05,20:51:01,6540,0.26
20:52:06,20:51:01,6520,0.26
20:52:10,20:51:01,6508,0.26
20:52:12,20:51:01,6497,0.24
20:52:14,20:51:01,6473,0.24
20:52:16,20:51:01,6451,0.3
20:52:17,20:51:01,6428,0.3
20:52:21,20:51:01,6412,0.28
20:52:23,20:51:01,6399,0.28
20:52:25,20:51:01,6392,0.28
20:52:26,20:51:01,6374,0.25
20:52:30,20:51:01,6363,0.25
20:52:32,20:51:01,6355,0.23
20:52:33,20:51:01,6340,0.23
20:52:35,20:51:01,6329,0.3
20:52:37,20:51:01,6324,0.3
20:52:41,20:51:01,6315,0.27
20:52:43,20:51:01,6304,0.27
20:52:44,20:51:01,6301,0.27
20:52:46,20:51:01,6289,0.33
20:52:48,20:51:01,6280,0.33
20:52:50,20:51:01,6269,0.3
20:52:54,20:51:01,6265,0.3
20:52:56,20:51:01,6256,0.28
20:52:58,20:51:01,6248,0.28
20:52:59,20:51:01,6245,0.28
20:53:01,20:51:01,6245,0.42
20:53:03,20:51:01,6320,0.42
20:53:07,20:51:01,6428,0.54
20:53:07,20:51:01,6519,0.54
20:53:10,20:51:01,6615,0.58
20:53:14,20:51:01,6742,0.58
20:53:14,20:51:01,6851,0.53
20:53:17,20:51:01,6974,0.53
20:53:17,20:51:01,7112,0.53
20:53:21,20:53:22,7207,0.49
20:53:24,20:53:22,7200,0.49
20:53:26,20:53:22,7197,0.53
20:53:29,20:53:22,7193,0.53
20:53:31,20:53:22,7185,0.49
20:53:33,20:53:22,7182,0.49
20:53:35,20:53:22,7173,0.49
20:53:36,20:53:22,7168,0.53
20:53:38,20:53:22,7165,0.53
20:53:42,20:53:22,7160,0.49
20:53:44,20:53:22,7157,0.49
20:53:46,20:53:22,7147,0.53
20:53:48,20:53:22,7125,0.53
20:53:50,20:53:22,7109,0.57
20:53:51,20:53:22,7082,0.57
20:53:53,20:53:22,7043,0.57
20:53:56,20:53:22,7001,0.52
20:53:58,20:53:22,6953,0.52
20:54:00,20:53:22,6903,0.48
20:54:02,20:53:22,6845,0.48
20:54:05,20:53:22,6791,0.44
20:54:07,20:53:22,6747,0.44
20:54:09,20:53:22,6693,0.44
20:54:11,20:53:22,6643,0.41
20:54:14,20:53:22,6610,0.41
20:54:16,20:53:22,6563,0.37
20:54:18,20:53:22,6528,0.37
20:54:20,20:53:22,6491,0.42
20:54:22,20:53:22,6457,0.42
20:54:26,20:53:22,6426,0.47
20:54:28,20:53:22,6390,0.47
20:54:30,20:53:22,6363,0.47
20:54:31,20:53:22,6332,0.51
20:54:33,20:53:22,6312,0.51
20:54:37,20:53:22,6292,0.47
20:54:39,20:53:22,6269,0.47
20:54:40,20:53:22,6251,0.43
20:54:42,20:53:22,6225,0.43
20:54:44,20:53:22,6200,0.43
20:54:48,20:53:22,6172,0.4
20:54:49,20:53:22,6159,0.4
20:54:51,20:53:22,6145,0.45
